iter	Passed	Remaining
0	162	162313
1	191	95757
2	223	74342
3	253	63201
4	279	55712
5	308	51141
6	338	48035
7	367	45618
8	396	43635
9	425	42136
10	454	40858
11	486	40060
12	518	39337
13	544	38377
14	574	37700
15	603	37111
16	633	36652
17	667	36390
18	699	36128
19	730	35799
20	765	35703
21	805	35816
22	840	35707
23	870	35394
24	900	35130
25	932	34923
26	964	34748
27	990	34393
28	1017	34082
29	1048	33888
30	1077	33686
31	1110	33596
32	1138	33355
33	1166	33142
34	1195	32975
35	1228	32884
36	1256	32690
37	1284	32527
38	1315	32414
39	1344	32259
40	1370	32067
41	1400	31949
42	1429	31820
43	1458	31681
44	1484	31503
45	1514	31408
46	1545	31339
47	1575	31255
48	1603	31126
49	1632	31011
50	1662	30942
51	1691	30837
52	1721	30759
53	1750	30667
54	1779	30578
55	1810	30522
56	1839	30430
57	1869	30364
58	1899	30288
59	1928	30217
60	1958	30145
61	1987	30067
62	2018	30025
63	2046	29935
64	2078	29892
65	2109	29846
66	2139	29787
67	2167	29701
68	2194	29612
69	2223	29542
70	2255	29512
71	2287	29485
72	2316	29419
73	2344	29343
74	2377	29319
75	2409	29289
76	2439	29245
77	2470	29204
78	2500	29152
79	2532	29124
80	2564	29097
81	2593	29030
82	2625	29012
83	2655	28962
84	2689	28954
85	2720	28916
86	2752	28890
87	2784	28860
88	2818	28849
89	2850	28825
90	2883	28806
91	2923	28852
92	2970	28968
93	3005	28963
94	3040	28961
95	3084	29044
96	3137	29203
97	3169	29169
98	3203	29151
99	3241	29173
100	3275	29158
101	3311	29155
102	3347	29152
103	3382	29137
104	3416	29125
105	3451	29111
106	3489	29118
107	3520	29073
108	3560	29102
109	3597	29110
110	3632	29091
111	3667	29074
112	3703	29067
113	3737	29050
114	3773	29036
115	3807	29018
116	3843	29005
117	3877	28986
118	3917	29002
119	3954	28999
120	3989	28984
121	4022	28947
122	4056	28926
123	4090	28898
124	4126	28885
125	4162	28870
126	4211	28949
127	4244	28914
128	4281	28905
129	4317	28892
130	4351	28863
131	4384	28833
132	4419	28810
133	4453	28781
134	4485	28739
135	4520	28716
136	4555	28693
137	4588	28663
138	4623	28639
139	4660	28630
140	4697	28619
141	4744	28667
142	4785	28678
143	4818	28645
144	4853	28619
145	4884	28568
146	4917	28532
147	4948	28490
148	4984	28469
149	5017	28435
150	5050	28397
151	5085	28373
152	5126	28382
153	5163	28365
154	5199	28346
155	5233	28314
156	5268	28288
157	5299	28244
158	5333	28213
159	5366	28173
160	5400	28143
161	5431	28095
162	5461	28042
163	5494	28009
164	5527	27970
165	5570	27987
166	5607	27968
167	5640	27936
168	5675	27907
169	5715	27907
170	5759	27920
171	5803	27935
172	5841	27923
173	5873	27883
174	5905	27840
175	5938	27805
176	5975	27783
177	6015	27780
178	6052	27758
179	6092	27753
180	6135	27762
181	6290	28273
182	6322	28225
183	6354	28178
184	6388	28141
185	6421	28101
186	6451	28048
187	6490	28034
188	6537	28051
189	6574	28027
190	6608	27990
191	6647	27976
192	6686	27956
193	6720	27920
194	6752	27874
195	6787	27841
196	6831	27847
197	6877	27858
198	6926	27880
199	6984	27936
200	7030	27947
201	7071	27936
202	7112	27922
203	7147	27890
204	7183	27858
205	7229	27864
206	7275	27870
207	7312	27842
208	7346	27803
209	7379	27759
210	7412	27717
211	7447	27680
212	7479	27634
213	7511	27589
214	7545	27548
215	7582	27521
216	7617	27485
217	7663	27490
218	7704	27474
219	7742	27450
220	7777	27413
221	7809	27366
222	7849	27348
223	7888	27327
224	7932	27323
225	7975	27312
226	8017	27303
227	8053	27269
228	8086	27227
229	8123	27195
230	8159	27163
231	8192	27120
232	8222	27067
233	8257	27032
234	8289	26984
235	8322	26943
236	8355	26899
237	8393	26872
238	8426	26830
239	8464	26804
240	8502	26778
241	8540	26751
242	8576	26718
243	8605	26663
244	8638	26620
245	8668	26567
246	8702	26530
247	8743	26512
248	8773	26461
249	8804	26413
250	8846	26399
251	8887	26379
252	8935	26382
253	8981	26380
254	9026	26372
255	9073	26369
256	9116	26356
257	9161	26346
258	9222	26384
259	9266	26373
260	9313	26371
261	9353	26347
262	9388	26307
263	9424	26274
264	9467	26258
265	9508	26236
266	9548	26214
267	9584	26177
268	9618	26137
269	9652	26097
270	9688	26061
271	9724	26027
272	9764	26001
273	9803	25974
274	9836	25932
275	9869	25889
276	9911	25871
277	9953	25850
278	9990	25819
279	10027	25786
280	10065	25754
281	10095	25704
282	10130	25666
283	10160	25616
284	10201	25593
285	10237	25558
286	10281	25543
287	10321	25517
288	10358	25484
289	10395	25450
290	10435	25424
291	10473	25395
292	10506	25352
293	10543	25318
294	10577	25277
295	10615	25248
296	10653	25217
297	10687	25176
298	10729	25154
299	10783	25161
300	10820	25127
301	10857	25094
302	10891	25054
303	10924	25011
304	10957	24967
305	10990	24926
306	11025	24887
307	11060	24851
308	11101	24826
309	11150	24819
310	11198	24808
311	11241	24789
312	11277	24753
313	11313	24716
314	11349	24681
315	11384	24641
316	11429	24626
317	11466	24591
318	11502	24554
319	11535	24512
320	11578	24492
321	11615	24457
322	11650	24419
323	11686	24382
324	11724	24351
325	11768	24332
326	11809	24304
327	11840	24257
328	11870	24209
329	11900	24162
330	11932	24116
331	11964	24073
332	11998	24032
333	12029	23987
334	12064	23949
335	12106	23924
336	12138	23881
337	12175	23845
338	12207	23802
339	12239	23758
340	12273	23719
341	12310	23685
342	12346	23649
343	12380	23609
344	12428	23595
345	12478	23587
346	12519	23560
347	12555	23523
348	12589	23483
349	12619	23436
350	12652	23394
351	12685	23352
352	12723	23320
353	12760	23285
354	12795	23248
355	12834	23217
356	12865	23172
357	12897	23128
358	12932	23090
359	12973	23063
360	13009	23028
361	13046	22993
362	13077	22948
363	13111	22908
364	13148	22873
365	13192	22852
366	13227	22815
367	13270	22791
368	13305	22752
369	13337	22710
370	13369	22666
371	13404	22629
372	13442	22596
373	13483	22569
374	13519	22533
375	13560	22504
376	13592	22461
377	13623	22417
378	13657	22377
379	13694	22344
380	13734	22314
381	13773	22282
382	13810	22248
383	13856	22227
384	13898	22201
385	13930	22158
386	13963	22117
387	13994	22073
388	14025	22029
389	14061	21993
390	14092	21949
